OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID,Latitude,Longitude
1235,Cast Aluminum,Other,Globe,IND,85,SL057,1256826.907825,1009849.696,1.0,,2331,Yes,Not Specified,Black,Sternberg,QL,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{5D9235CE-E604-42EB-9D2D-9AA1A35BBF36},40.11778583633795,-88.24180972691346
1236,Aluminum,Combo,Cobra,LED,Not Specified,SL060,1255863.2874,1010412.547,3.0,2017-01-01 06:00:00,2332,No,Not Specified,Black,Valmont,GE,Yes,Not Specified,GPS,Not Specified,Not Specified,{5476588B-940E-48EB-9831-29FB95EDC010},40.1151165290102,-88.2398226864384
1237,Aluminum,Truss Arm,Cobra,LED,Not Specified,SL060,1255863.2874,1010412.547,4.0,2017-01-01 06:00:00,2333,No,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{BD183F99-6CD8-45C8-AD6E-A6068E76F591},40.11513338729962,-88.23977968880287
1238,Aluminum,Davit,Cobra,HPS,100,SL046,1257045.556925,1012334.1785,4.0,,2338,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{F4D30819-B282-41D9-98A7-EF1F2BC5CC0D},40.11838201793179,-88.23291573676015
1239,Aluminum,Other,Other,HPS,100,SL071,1253500.1795,1013019.908925,,,2339,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{729C42F6-35CA-4ED5-B569-80289E39F0C8},40.10863286964142,-88.23045073603716
1240,Aluminum,Davit,Cobra,HPS,250,SL079,1254590.849525,1009420.290925,4.0,,2341,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{C7EBBA7E-51AA-40A5-A962-AFD1C86C0823},40.11166908068883,-88.2433585973272
1241,Aluminum,Other,Cobra,HPS,100,SL086,1254280.7971,1012554.37495,1.0,,2342,Yes,Not Specified,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{DF9DEA30-4C14-48ED-BF21-D22A30354625},40.110788443953005,-88.23214461845322
1242,Aluminum,Other,Cobra,HPS,100,SL086,1254319.6085,1012725.2352,1.0,,2343,Yes,Not Specified,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{62A7B971-F062-4F5C-BFF5-C46D342ABBD9},40.11089444977191,-88.23153359682578
1243,Steel,Truss Arm,Cobra,HPS,100,SL035,1253654.635125,1005592.386,3.0,,2347,No,Not Specified,Green,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3D026844-5916-429A-AC7D-F1EB625A828C},40.1090886312989,-88.25703719034914
1244,Aluminum,Truss Arm,Cobra,HPS,250,SL030,1255605.876475,1008872.983,4.0,,2349,No,Not Specified,Green,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{FD06F21C-DA15-45E4-B07C-EAE7A9A0810A},40.1144389700866,-88.24530525265088
